supplier_name,supplier_type,csr_url,supplier_address
BOE,Final Assembly,http://www.boe.com/en/about/shzr/,"No.1700, Zhongshan North Road, Economic and Technological Development Zone, Wujiang District, Suzhou, Jiangsu, China"
Compal,Final Assembly,https://www.compal.com/csr/en/page.aspx?Id=2,"No.10-3, Bao Hong Road , Yubei District, Chongqing, China"
Coretronic,Final Assembly,https://www.coretronic.com/en/csr,"No.20, Third Avenue, Kunshan Free Trade Zone, Jiangsu, China"
ECS,Final Assembly,https://www.ecs.com.tw/extra/greenecs_en/index.html?,"No.1, Nan-Huan Road, ShaJing, BaoAn District, Shen Zhen City, Guangdong, China"
Huaqin,Final Assembly,http://www.huaqin.com/social/,"No.9 Industrial Northern Road, Songshan Lake National High-Tech Industrial Development zone, Dongguan, Guandong, China"
Lehui,Final Assembly,,"No.225, JinFeng Road, SuZhou New District, Suzhou, Jiangsu, China"
Lengda,Final Assembly,,"No.14, Haijing E. Road, Free Trade Zone, Xiamen, Fujian, China"
Neostra,Final Assembly,,"No.7 Building, Huaide Cuihai Industrial Park Fuyong, Bao'an District. Shenzhen, Guangdong, China."
Pegatron,Final Assembly,http://www.pegatroncorp.com/csr/view/id/1/lang/en_US,"Zone C B01, Lianglu Cuntan bonded port, Yubei District, Chongqing, China"
Qisda,Final Assembly,https://www.qisda.com/page.aspx?uid=189,"No.169, Zhujiang Road, New District, Suzhou, Jiangsu, China"
Quanta,Final Assembly,http://www.quantatw.com/Quanta/english/about/quantacsr.aspx,"Lane 18, Zongbao Road, Shapingba District, Chongqing, China"
TPV,Final Assembly,http://www.tpv-tech.com/pdf/tpv_2017_cs2report.pdf,"Rongqiao Economic and Technological Development Zone, Fuqing City,Fujian, China"
Wistron,Final Assembly,https://www.wistron.com/CMS/Page/233,"No.38, East Keji Road, Torch Development Zone, Zhongshan City, Guangdong, China"
Wistron,Final Assembly,https://www.wistron.com/CMS/Page/233,"No. 18-9, Baohong Avenue, Wangjia Sub-district, Yubei District, Chongqing, China"
A-Data,Component,https://www.adata.com/en/about/commit/4,
AMD,Component,https://www.amd.com/en/corporate-responsibility,
AU Optronics,Component,https://www.auo.com/en-global/CSR_Overview/index,
Chicony,Component,https://www.chicony.com.tw/chicony/en/csr,
Chicony Power,Component,https://www.chiconypower.com/en/home/CSR,
Delta,Component,http://www.delta-americas.com/about/csr_features_enUS.aspx?secID=5&pid=6&tid=0&hl=en-US,
Henghao,Component,https://www.compal.com/csr/en/download.aspx,
Innolux,Component,https://www.compal.com/csr/en/download.aspx,
Intel,Component,https://www.intel.com/content/www/us/en/corporate-responsibility/corporate-responsibility.html,
Kingston,Component,https://www.kingston.com/us/company/management_system_certification,
LG Chem,Component,https://www.lg.com/global/sustainability,
LG Display,Component,http://www.lgdisplay.com/eng/sustainability/report,
Lite-On,Component,https://www.liteon.com/en-us/globalcitizenship/94,
Micron,Component,https://www.micron.com/about/our-commitment,
Murata,Component,https://www.murata.com/en-us/about/csr?intcid5=com_xxx_xxx_cmn_ft_xxx,
Nvidia,Component,https://www.nvidia.com/object/fy13-gcr-global-citizenship-home.html,
Panasonic,Component,https://www.panasonic.com/global/corporate/sustainability.html,
Samsung,Component,https://www.samsung.com/us/aboutsamsung/sustainability/strategy/,
Seagate,Component,https://www.seagate.com/global-citizenship/,
SK hynix,Component,https://www.skhynix.com/eng/sustain/sustainManage.jsp,
Toshiba,Component,http://www.toshiba.co.jp/csr/en/index.htm,
Western Digital,Component,https://www.westerndigital.com/company/corporate-sustainability,